emoji,label
🇸🇻,<img src='Imagenes//flag-for-el-salvador_1f1f8-1f1fb.png' width='25'/>
🇵🇪,<img src='Imagenes//flag-for-peru_1f1f5-1f1ea.png' width='25'/>
🇦🇷,<img src='Imagenes//flag-for-argentina_1f1e6-1f1f7.png' width='25'/>
🇲🇽,<img src='Imagenes//flag-for-mexico_1f1f2-1f1fd.png' width='25'/>
🇨🇱,<img src='Imagenes//flag-for-chile_1f1e8-1f1f1.png' width='25'/>
🇬🇹,<img src='Imagenes//flag-for-guatemala_1f1ec-1f1f9.png' width='25'/>
🇨🇴,<img src='Imagenes//flag-for-colombia_1f1e8-1f1f4.png' width='25'/>
🇧🇷,<img src='Imagenes//flag-for-brazil_1f1e7-1f1f7.png' width='25'/>
🇺🇾,<img src='Imagenes//flag-for-uruguay_1f1fa-1f1fe.png' width='25'/>
🏳️,<img src='Imagenes//waving-white-flag_1f3f3.png' width='25'/>
🇨🇷,<img src='Imagenes//flag-for-costa-rica_1f1e8-1f1f7.png' width='25'/>
🇻🇪,<img src='Imagenes//flag-for-venezuela_1f1fb-1f1ea.png' width='25'/>
🙂,<img src='Imagenes//slightly-smiling-face_1f642.png' width='25'/>
🙃,<img src='Imagenes//upside-down-face_1f643.png' width='25'/>
😀,<img src='Imagenes//grinning-face_1f600.png' width='25'/>
😒,<img src='Imagenes//unamused-face_1f612.png' width='25'/>
😅,<img src='Imagenes//smiling-face-with-open-mouth-and-cold-sweat_1f605.png' width='25'/>
🤣,<img src='Imagenes//rolling-on-the-floor-laughing_1f923.png' width='25'/>
😄,<img src='Imagenes//smiling-face-with-open-mouth-and-smiling-eyes_1f604.png' width='25'/>
🤩,<img src='Imagenes//grinning-face-with-star-eyes_1f929.png' width='25'/>
😎,<img src='Imagenes//smiling-face-with-sunglasses_1f60e.png' width='25'/>
💜,<img src='Imagenes//purple-heart_1f49c.png' width='25'/>
😆,<img src='Imagenes//smiling-face-with-open-mouth-and-tightly-closed-eyes_1f606.png' width='25'/>
😘,<img src='Imagenes//face-throwing-a-kiss_1f618.png' width='25'/>
🧉,<img src='Imagenes//mate-drink_1f9c9.png' width='25'/>
😊,<img src='Imagenes//smiling-face-with-smiling-eyes_1f60a.png' width='25'/>
